,open,high,low,close,volume,date
85,249,249,241.5,241.5,40006856,2019/5/17
86,242.5,243,238,238,47097661,2019/5/20
87,233.5,236,232.5,234,82872775,2019/5/21
88,236.5,240.5,235.5,238,36289034,2019/5/22
89,233.5,233.5,230,230,62258627,2019/5/23
90,230,234,230,233,38226789,2019/5/24
91,234,235,231,231,37447033,2019/5/27
92,232,232,230.5,230.5,99322033,2019/5/28
93,228,230.5,227,229.5,32260236,2019/5/29
94,230,231.5,229,231,40375328,2019/5/30
95,232,237.5,231,235.5,49163217,2019/5/31
96,235.5,238.5,232,238,36687092,2019/6/3
97,237.5,238,233,233,24443428,2019/6/4
98,238,238,234,235,35901584,2019/6/5
99,231.5,232,229.5,232,34651731,2019/6/6
100,237.5,240,234.5,240,35521888,2019/6/10
101,240,246,239,244.5,34691670,2019/6/11
102,244.5,247.5,243,246,30409556,2019/6/12
103,242.5,244,240,240,33731724,2019/6/13
104,238.5,239.5,236,236,35403556,2019/6/14
105,231.5,235,230.5,233,51692012,2019/6/17
106,234,235.5,233,235.5,28798087,2019/6/18
107,242.5,244,240.5,244,50234372,2019/6/19
108,242,245.5,241,245,39717291,2019/6/20
109,248,248.5,246,248.5,62136304,2019/6/21
110,241,242,240,241,43460507,2019/6/24
111,241,241.5,237,238.5,29735283,2019/6/25
112,235,236.5,234,234.5,28770041,2019/6/26
113,236,241.5,236,240.5,42007834,2019/6/27
114,241.5,241.5,238,239,28085212,2019/6/28
115,245.5,250,245,248.5,66370875,2019/7/1
116,249.5,250,247.5,249,26832202,2019/7/2
117,244,245,242,242.5,29549774,2019/7/3
118,244.5,245,242.5,244,18691240,2019/7/4
119,244.5,245,241.5,243,27317074,2019/7/5
120,240,244.5,240,242.5,29190909,2019/7/8
121,241.5,243,240.5,242,16538987,2019/7/9
122,243,247,243,247,23812131,2019/7/10
123,250,250,247.5,250,31296289,2019/7/11
124,252,252,249.5,250.5,23868432,2019/7/12
